trip_duration,distance_traveled,num_of_passengers,fare,tip,miscellaneous_fees,total_fare,surge_applied
600,5.13,1,11.7,0.0,1.76,13.46,0
1286,4.33,2,14.62,4.55,3.44,22.61,1
734,3.67,1,10.24,0.0,0.78,11.02,0
718,2.29,1,8.78,2.08,1.78,12.64,0
612,2.43,1,8.29,1.95,3.46,13.7,1
379,1.26,4,5.85,0.0,0.78,6.63,0
38,4.83,1,2.44,0.0,0.78,3.22,0
609,3.62,1,9.26,2.47,0.83,12.56,0
992,3.09,1,11.21,0.0,3.46,14.67,1
2436,16.66,1,48.75,0.0,0.29,49.04,0
401,1.66,5,6.34,0.0,0.78,7.12,0
732,3.33,1,9.75,1.43,3.49,14.67,1
1043,3.33,3,11.7,0.0,0.78,12.48,0
316,1.35,1,5.36,0.0,0.78,6.14,0
44,0.13,1,2.44,0.0,0.78,3.22,0
8,0.05,1,27.3,0.0,0.29,27.59,0
466,2.06,1,6.82,0.0,0.78,7.6,0
1389,3.49,2,15.11,0.0,0.78,15.89,0
2775,16.09,1,36.56,0.0,0.78,37.34,0
994,6.44,1,15.11,0.0,0.78,15.89,0
905,4.28,1,11.7,2.21,3.52,17.43,1
486,1.95,1,6.82,0.0,4.44,11.26,1
615,4.17,1,10.24,0.0,3.95,14.19,1
214,1.01,1,4.39,1.17,1.23,6.79,0
673,2.72,1,8.78,2.34,0.83,11.95,0
829,3.65,1,10.72,2.99,1.28,14.99,0
580,3.22,0,8.78,2.6,4.48,15.86,1
582,2.77,1,8.29,0.0,1.27,9.56,0
987,6.6,1,14.62,0.0,3.46,18.08,1
2875,4.92,2,26.81,0.0,1.27,28.08,0
48,0.11,2,2.44,0.0,1.76,4.2,0
508,2.56,2,7.31,0.0,4.44,11.75,1
2431,11.27,1,28.28,0.0,0.78,29.06,0
355,1.98,1,6.34,0.0,1.27,7.61,0
491,1.53,1,7.31,1.56,0.84,9.71,0
285,1.32,1,4.88,5.85,1.76,12.49,0
1364,14.93,1,27.3,4.81,3.97,36.08,1
588,2.9,1,8.29,0.0,0.78,9.07,0
829,3.22,1,10.72,2.86,0.8,14.38,0
919,8.45,1,17.55,4.16,3.5,25.21,1
1045,4.89,1,13.65,3.38,3.5,20.53,1
2404,14.32,1,31.2,3.51,3.42,38.13,1
856,5.13,1,12.68,2.73,1.33,16.74,0
1780,15.58,1,30.22,6.76,3.44,40.42,1
430,1.46,1,6.34,1.43,0.77,8.54,0
235,1.19,1,4.39,0.0,1.76,6.15,0
499,2.17,1,7.31,0.0,0.78,8.09,0
500,2.74,1,7.8,2.47,4.4,14.67,1
893,4.18,1,11.7,1.95,3.46,17.11,1
876,7.08,1,15.11,1.82,3.49,20.42,1
486,3.27,2,19.5,0.0,0.29,19.79,0
670,1.56,2,7.8,0.0,1.76,9.56,0
365,1.85,2,5.85,0.0,1.76,7.61,0
319,0.95,3,4.88,0.0,0.78,5.66,0
194,1.13,1,4.39,4.94,0.72,10.05,0
1299,3.06,1,13.65,3.12,1.72,18.49,0
459,2.54,1,7.31,1.95,0.78,10.04,0
795,8.58,1,16.58,4.29,0.83,21.7,0
3070,9.91,1,32.18,7.15,3.44,42.77,1
676,4.04,5,10.24,1.95,0.78,12.97,0
539,2.85,1,7.8,1.69,3.46,12.95,1
562,2.8,1,8.29,2.34,3.47,14.1,1
201,0.72,1,3.9,0.0,0.78,4.68,0
1325,10.15,1,21.94,4.94,3.4,30.28,1
2,0.05,1,9.75,2.99,0.32,13.06,0
673,2.48,1,8.78,4.94,0.72,14.44,0
376,1.13,2,5.85,0.0,0.78,6.63,0
608,3.07,5,8.78,0.0,0.78,9.56,0
1465,11.56,1,23.4,4.94,3.4,31.74,1
979,5.18,1,12.68,0.0,1.76,14.44,0
699,3.51,1,9.75,3.25,3.52,16.52,1
1513,7.27,1,18.53,1.43,3.49,23.45,1
1414,7.08,1,17.55,1.04,0.72,19.31,0
366,2.09,1,6.34,0.0,1.27,7.61,0
380,1.71,2,5.85,1.3,0.81,7.96,0
1046,7.82,1,16.58,0.0,0.78,17.36,0
885,4.12,1,11.21,0.0,4.44,15.65,1
407,1.37,1,5.85,0.0,0.78,6.63,0
480,1.53,1,6.34,2.08,1.7,10.12,0
1393,4.1,1,14.62,4.94,1.73,21.29,0
2329,11.51,1,26.81,6.11,3.41,36.33,1
573,2.72,1,8.29,0.0,3.46,11.75,1
1029,9.98,1,19.99,4.16,0.76,24.91,0
612,3.81,1,8.78,0.0,1.76,10.54,0
694,2.41,1,8.78,1.04,0.72,10.54,0
1193,5.79,1,15.11,0.0,0.78,15.89,0
553,2.91,2,8.78,0.0,1.27,10.05,0
684,3.77,1,10.24,1.04,1.2,12.48,0
1391,11.27,1,22.42,1.95,3.46,27.83,1
755,8.88,1,16.58,0.13,0.73,17.44,0
400,1.45,1,6.34,0.0,1.76,8.1,0
1075,11.73,1,21.45,7.41,3.52,32.38,1
568,2.96,1,7.8,1.95,1.76,11.51,0
2116,6.39,1,21.94,0.0,3.46,25.4,1
549,4.67,1,10.72,0.0,1.27,11.99,0
274,0.77,1,4.88,0.0,0.78,5.66,0
1391,7.08,3,17.55,0.0,0.78,18.33,0
773,3.41,2,9.75,1.17,1.76,12.68,0
593,8.21,3,15.11,0.0,1.27,16.38,0
892,4.06,1,11.21,1.82,0.72,13.75,0
1576,9.7,1,22.42,6.76,4.39,33.57,1
577,6.18,1,13.16,2.08,1.82,17.06,0
654,2.7,1,8.78,0.0,0.78,9.56,0
416,1.09,1,5.85,1.95,1.76,9.56,0
562,2.4,1,8.29,0.0,1.76,10.05,0
497,1.71,1,6.82,0.0,1.76,8.58,0
1204,6.63,1,16.09,0.0,3.46,19.55,1
802,3.15,1,9.75,0.0,0.78,10.53,0
410,1.96,1,6.34,1.95,3.47,11.76,1
1337,8.35,1,19.01,0.0,0.78,19.79,0
456,1.61,1,6.34,0.0,1.76,8.1,0
389,1.3,1,5.85,0.0,0.78,6.63,0
4,0.08,1,2.44,0.0,0.78,3.22,0
2864,14.81,1,34.12,6.24,7.12,47.48,0
476,3.62,1,8.29,2.34,3.47,14.1,1
770,11.67,1,20.96,4.94,3.41,29.31,1
1722,8.85,1,21.94,0.0,3.46,25.4,1
3042,16.11,1,36.56,0.0,0.78,37.34,0
342,1.61,1,5.85,1.95,1.71,9.51,0
1463,5.92,2,16.58,3.51,0.74,20.83,0
1095,6.31,1,15.6,3.77,3.5,22.87,1
959,3.43,2,11.7,0.0,1.76,13.46,0
376,1.71,1,5.85,1.95,3.96,11.76,1
207,0.97,1,4.39,0.0,0.78,5.17,0
503,6.13,1,12.19,1.04,0.72,13.95,0
491,1.13,1,6.34,0.0,1.76,8.1,0
1415,5.33,1,16.09,3.38,0.77,20.24,0
482,2.56,1,7.31,1.04,3.4,11.75,1
186,0.82,1,3.9,0.0,4.44,8.34,1
356,2.06,1,6.34,2.08,0.84,9.26,0
532,1.83,1,6.82,1.04,1.69,9.55,0
1735,4.35,1,17.55,6.24,3.51,27.3,1
699,2.46,3,8.78,2.08,1.78,12.64,0
562,2.29,1,7.8,2.21,3.5,13.51,1
1767,8.01,2,20.96,6.5,0.8,28.26,0
1722,16.03,5,30.71,7.02,4.45,42.18,1
705,4.18,1,10.72,1.95,1.76,14.43,0
1199,5.7,1,15.6,0.0,1.27,16.87,0
687,2.53,1,9.26,0.0,0.78,10.04,0
416,3.03,1,7.8,0.0,0.78,8.58,0
1098,11.88,5,21.94,0.0,0.78,22.72,0
646,2.49,1,8.78,3.12,3.4,15.3,1
3138,48.41,2,130.65,0.0,1.27,131.92,0
382,2.56,1,7.31,2.08,1.33,10.72,0
1127,3.72,2,12.68,2.73,0.74,16.15,0
643,2.48,1,8.29,2.99,1.78,13.06,0
1021,5.04,1,13.16,3.51,0.76,17.43,0
1478,5.42,1,16.58,4.29,0.83,21.7,0
824,3.17,1,10.24,1.95,0.78,12.97,0
237,1.53,1,5.36,1.56,0.76,7.68,0
564,2.41,1,7.8,0.0,0.78,8.58,0
795,2.93,1,10.24,0.0,0.78,11.02,0
424,2.09,1,6.82,2.34,1.32,10.48,0
669,1.98,3,8.78,0.0,0.78,9.56,0
935,5.15,1,13.16,2.86,3.53,19.55,1
477,2.25,0,7.31,1.95,0.78,10.04,0
1258,6.63,1,16.58,2.99,3.47,23.04,1
1117,4.14,1,12.68,0.0,0.78,13.46,0
369,1.38,1,5.85,0.0,0.78,6.63,0
758,4.99,1,12.19,1.95,3.41,17.55,1
221,1.3,1,4.39,0.0,1.76,6.15,0
701,11.47,1,19.99,30.81,7.7,58.5,0
1099,8.82,1,18.04,3.9,7.65,29.59,0
1178,7.56,1,16.09,0.0,0.78,16.87,0
308,1.11,1,4.88,0.0,0.78,5.66,0
1106,5.52,1,14.14,0.0,4.44,18.58,1
1348,4.51,1,15.11,3.64,3.53,22.28,1
1349,11.7,1,23.89,5.59,3.93,33.41,1
1007,4.99,1,13.16,4.16,3.44,20.76,1
275,1.38,1,5.36,0.0,1.76,7.12,0
192,2.35,1,5.85,1.04,0.72,7.61,0
421,3.23,1,7.8,1.95,4.0,13.75,1
373,2.56,1,6.82,2.08,3.44,12.34,1
845,3.23,3,10.24,0.0,3.46,13.7,1
1095,4.26,1,12.68,3.25,3.44,19.37,1
742,4.12,1,10.24,0.0,4.44,14.68,1
2349,14.39,6,32.18,7.28,4.48,43.94,1
636,3.86,1,10.24,0.0,3.95,14.19,1
1012,2.2,1,11.21,1.17,0.81,13.19,0
744,2.08,1,8.78,0.0,1.76,10.54,0
319,1.79,1,5.85,1.04,1.2,8.09,0
410,1.53,1,5.85,1.43,1.26,8.54,0
665,2.22,1,8.29,0.0,0.78,9.07,0
17,0.02,1,2.44,6.76,1.33,10.53,0
916,4.72,1,12.68,3.38,4.48,20.54,1
1404,17.54,1,31.69,8.45,10.29,50.43,1
1055,4.83,1,13.65,0.0,0.78,14.43,0
591,2.69,1,8.29,0.0,1.27,9.56,0
1189,5.15,1,14.62,2.73,3.44,20.79,1
1119,13.47,1,23.89,4.94,0.77,29.6,0
546,2.86,1,8.78,0.0,0.78,9.56,0
350,0.64,1,5.36,1.17,0.83,7.36,0
1235,5.04,5,14.14,0.0,1.76,15.9,0
170,0.47,1,3.9,0.52,0.73,5.15,0
1678,13.95,1,27.79,6.37,3.93,38.09,1
633,0.97,1,7.8,0.0,1.76,9.56,0
1495,8.63,1,20.48,4.81,3.44,28.73,1
1809,7.47,1,23.4,0.0,0.78,24.18,0
520,2.53,1,7.31,0.0,0.78,8.09,0
1694,9.53,1,21.94,1.95,4.44,28.33,1
549,1.9,1,7.31,2.34,4.45,14.1,1
1543,4.44,1,16.58,4.03,3.44,24.05,1
1353,7.0,6,18.53,0.0,0.78,19.31,0
862,5.05,1,13.16,2.99,1.75,17.9,0
1010,3.48,1,11.7,3.77,0.75,16.22,0
1059,5.12,1,14.14,3.51,3.47,21.12,1
355,1.45,1,5.85,1.43,1.26,8.54,0
627,2.37,2,8.29,1.95,4.4,14.64,1
546,2.25,1,7.8,0.0,0.78,8.58,0
1412,11.8,5,22.91,4.68,0.84,28.43,0
552,2.22,1,7.31,0.0,0.78,8.09,0
1133,4.12,6,13.16,1.95,0.78,15.89,0
1474,5.5,1,16.09,0.0,1.76,17.85,0
1579,11.91,1,24.38,5.07,0.74,30.19,0
784,6.78,1,14.62,3.12,0.74,18.48,0
406,1.54,1,5.85,0.0,0.78,6.63,0
426,1.71,1,6.34,1.43,0.77,8.54,0
450,2.17,1,6.82,1.69,1.24,9.75,0
439,1.88,1,6.82,1.56,0.74,9.12,0
1070,6.66,1,14.62,4.94,1.73,21.29,0
1453,13.04,1,25.35,0.0,0.78,26.13,0
345,1.88,1,5.85,2.34,1.7,9.89,0
620,2.83,1,8.29,1.95,1.23,11.47,0
235,1.77,2,5.36,0.0,0.78,6.14,0
891,5.01,1,13.16,0.0,0.78,13.94,0
603,3.22,5,9.26,2.47,0.83,12.56,0
791,4.46,3,11.7,0.0,0.78,12.48,0
700,3.46,1,9.26,1.95,0.84,12.05,0
836,6.28,1,14.14,0.0,0.78,14.92,0
824,5.07,1,12.68,2.08,3.9,18.66,1
23,0.48,1,20.48,0.0,0.29,20.77,0
619,4.68,1,11.21,0.0,3.95,15.16,1
301,1.27,1,5.36,0.0,0.78,6.14,0
461,2.3,2,6.82,2.6,1.73,11.15,0
297,1.85,5,5.85,0.0,0.78,6.63,0
839,4.02,1,11.21,3.12,4.44,18.77,1
305,1.29,1,5.36,0.0,1.76,7.12,0
715,4.02,1,10.24,2.34,1.22,13.8,0
1528,19.23,1,34.12,8.84,9.8,52.76,1
684,2.48,2,8.78,2.47,3.44,14.69,1
1109,4.57,5,13.16,0.0,0.78,13.94,0
587,2.17,1,7.8,0.0,1.76,9.56,0
920,2.95,1,11.21,2.99,0.79,14.99,0
710,5.33,1,11.7,2.73,1.72,16.15,0
452,2.74,1,7.31,1.82,1.74,10.87,0
1532,6.86,1,19.01,5.59,3.49,28.09,1
116,1.13,1,4.39,0.0,0.78,5.17,0
820,3.7,1,10.72,0.0,0.78,11.5,0
1256,5.15,1,15.11,0.0,0.78,15.89,0
346,2.01,1,5.85,0.0,1.76,7.61,0
777,3.04,1,9.75,0.0,1.27,11.02,0
430,1.66,1,6.34,0.0,0.78,7.12,0
2054,4.3,1,19.99,0.0,1.76,21.75,0
1678,7.39,1,19.99,5.85,3.47,29.31,1
518,1.87,1,6.82,1.17,0.75,8.74,0
527,1.46,1,6.82,0.0,0.78,7.6,0
704,3.89,1,10.24,0.0,0.78,11.02,0
1695,8.06,1,20.96,4.29,0.84,26.09,0
1488,5.38,1,16.58,0.0,3.46,20.04,1
774,5.38,1,12.19,4.03,3.96,20.18,1
515,1.38,1,6.82,1.95,0.73,9.5,0
1961,5.95,1,19.99,4.68,3.47,28.14,1
623,2.41,1,8.29,1.82,0.77,10.88,0
472,2.24,6,6.82,0.0,0.78,7.6,0
1790,14.16,1,28.76,0.0,1.27,30.03,0
334,1.58,1,5.85,0.0,1.76,7.61,0
896,3.7,1,10.72,2.08,3.51,16.31,1
268,1.29,1,4.88,1.69,0.75,7.32,0
1328,11.17,1,22.91,5.33,3.41,31.65,1
1228,5.2,1,14.62,0.0,1.76,16.38,0
582,2.8,1,8.29,1.95,1.81,12.05,0
1151,10.56,1,20.96,6.11,3.45,30.52,1
1215,5.1,1,15.11,0.0,4.44,19.55,1
376,1.71,2,6.34,0.0,0.78,7.12,0
510,2.57,1,7.8,0.0,1.76,9.56,0
730,4.72,5,11.7,0.0,0.78,12.48,0
356,1.79,1,5.85,0.91,3.49,10.25,1
394,2.01,1,6.34,0.0,0.78,7.12,0
1110,3.98,1,13.65,3.64,0.75,18.04,0
752,2.17,1,9.26,0.0,0.78,10.04,0
343,4.06,1,8.78,0.0,0.78,9.56,0
911,3.86,1,11.21,0.0,1.76,12.97,0
453,5.2,1,10.72,2.86,3.44,17.02,1
844,3.22,1,10.72,3.12,4.49,18.33,1
1006,5.87,1,15.11,0.0,1.27,16.38,0
874,1.9,1,9.75,3.9,3.52,17.17,1
1792,7.79,1,20.96,0.0,0.78,21.74,0
956,3.2,1,11.21,2.34,0.84,14.39,0
921,3.7,1,11.21,3.64,3.48,18.33,1
688,6.94,4,19.5,4.55,2.92,26.97,1
799,4.1,1,11.21,2.47,1.29,14.97,0
1937,8.51,1,21.94,5.07,3.47,30.48,1
1116,5.12,1,13.65,2.73,4.42,20.8,1
445,0.71,1,5.85,1.17,1.73,8.75,0
541,1.87,1,6.82,1.56,0.74,9.12,0
281,0.9,1,4.88,0.0,0.78,5.66,0
736,3.73,1,10.72,2.86,3.44,17.02,1
1517,13.36,1,26.81,7.8,4.44,39.05,1
718,3.03,1,9.26,1.95,0.84,12.05,0
1131,5.46,1,14.62,0.0,1.27,15.89,0
453,3.41,1,7.8,0.0,0.78,8.58,0
925,2.04,1,10.24,1.04,1.69,12.97,0
827,5.95,1,13.65,0.0,1.27,14.92,0
2122,15.37,1,33.15,0.0,0.78,33.93,0
40,0.13,1,2.44,0.0,0.78,3.22,0
1351,9.58,2,21.45,7.41,3.52,32.38,1
705,2.45,1,9.26,1.95,0.84,12.05,0
621,2.77,5,8.29,3.9,1.76,13.95,0
385,2.22,1,6.82,2.08,1.82,10.72,0
1161,26.26,5,50.7,14.3,6.72,71.72,0
543,3.3,1,8.78,2.47,3.43,14.68,1
474,2.9,1,8.29,1.04,1.2,10.53,0
1094,4.52,2,13.16,0.0,3.46,16.62,1
1409,8.27,1,18.04,2.86,0.84,21.74,0
1322,5.94,1,16.58,0.0,3.46,20.04,1
737,3.27,1,9.75,2.08,0.81,12.64,0
662,3.35,1,9.75,2.6,3.5,15.85,1
505,3.73,1,8.78,0.0,1.27,10.05,0
478,2.38,1,7.31,2.21,3.41,12.93,1
935,4.23,2,11.7,0.0,3.46,15.16,1
605,2.59,1,8.29,1.95,1.81,12.05,0
612,2.2,1,8.29,2.6,0.81,11.7,0
1013,4.8,1,13.16,5.85,4.44,23.45,1
1762,4.8,1,18.04,1.04,3.4,22.48,1
430,2.49,1,7.31,0.0,1.76,9.07,0
1271,7.24,1,16.58,0.0,3.46,20.04,1
342,1.93,1,5.85,1.04,4.37,11.26,1
632,2.7,1,8.29,0.0,0.78,9.07,0
1426,2.4,1,14.14,0.0,0.78,14.92,0
334,1.29,2,5.36,1.43,0.81,7.6,0
1258,2.98,1,12.68,0.0,0.78,13.46,0
540,2.54,1,8.29,1.82,0.77,10.88,0
864,4.84,1,12.19,0.0,3.46,15.65,1
820,2.83,1,10.24,0.0,0.78,11.02,0
205,0.85,1,4.39,0.0,3.46,7.85,1
583,2.12,1,7.8,1.95,0.78,10.53,0
775,6.5,1,14.14,4.81,1.71,20.66,0
1717,6.2,1,18.53,0.0,0.78,19.31,0
540,2.67,1,7.8,2.21,3.5,13.51,1
370,1.71,1,6.34,1.56,1.81,9.71,0
1954,9.96,5,24.38,5.59,3.44,33.41,1
493,1.61,1,6.82,0.0,0.78,7.6,0
1653,13.39,1,26.32,8.97,3.42,38.71,1
887,2.25,1,6.34,0.0,1.27,7.61,0
312,1.77,1,5.85,1.17,1.32,8.34,0
1170,4.01,1,13.65,0.0,1.76,15.41,0
524,2.98,1,8.29,0.0,3.46,11.75,1
361,2.25,2,6.34,0.0,1.27,7.61,0
799,3.04,2,9.75,2.08,0.81,12.64,0
1859,12.39,1,27.79,6.5,4.37,38.66,1
499,2.72,2,7.8,1.69,0.81,10.3,0
337,4.44,1,16.58,1.95,0.29,18.82,0
2289,21.2,1,39.98,9.49,7.69,57.16,0
422,2.56,1,7.31,0.0,1.27,8.58,0
587,3.96,1,10.24,2.34,1.23,13.81,0
1047,3.27,1,11.7,1.69,3.44,16.83,1
3540,28.98,1,54.11,12.74,9.9,76.75,1
627,1.56,2,7.8,2.86,1.76,12.42,0
335,0.97,1,5.36,0.0,1.76,7.12,0
795,4.06,1,11.21,1.95,3.46,16.62,1
929,2.57,1,10.24,2.73,0.8,13.77,0
1905,9.96,1,24.38,3.9,4.44,32.72,1
740,2.99,1,9.26,2.47,0.83,12.56,0
1545,5.5,1,17.06,0.0,4.44,21.5,1
763,2.41,1,9.26,2.99,0.76,13.01,0
1363,5.76,1,16.09,1.95,3.46,21.5,1
218,0.76,1,4.39,0.0,0.78,5.17,0
1437,6.39,1,17.55,1.95,3.46,22.96,1
938,2.74,1,10.72,0.0,1.76,12.48,0
25,0.24,1,2.44,0.0,0.78,3.22,0
607,2.11,2,8.29,0.0,0.78,9.07,0
566,2.43,1,7.8,1.69,0.81,10.3,0
1256,5.36,1,15.11,0.0,0.78,15.89,0
12,0.06,1,2.44,0.0,0.78,3.22,0
528,2.01,1,7.31,2.08,0.73,10.12,0
796,3.8,1,10.72,0.91,0.73,12.36,0
511,3.48,1,8.29,0.0,3.95,12.24,1
1097,10.3,1,21.94,5.2,4.5,31.64,1
800,3.46,6,10.24,3.38,3.5,17.12,1
526,1.27,1,5.85,0.0,0.78,6.63,0
609,2.57,1,8.29,2.34,1.32,11.95,0
250,1.48,5,5.36,1.82,3.41,10.59,1
893,5.95,1,12.68,3.25,3.43,19.36,1
1833,15.29,1,30.22,0.0,9.85,40.07,1
347,1.37,1,5.36,0.0,1.76,7.12,0
373,1.85,1,6.34,0.0,0.78,7.12,0
1137,4.35,1,12.68,0.0,1.76,14.44,0
188,0.72,1,3.9,0.0,0.78,4.68,0
1136,3.72,1,13.16,3.51,0.76,17.43,0
1203,11.31,1,22.42,4.16,0.72,27.3,0
814,6.45,1,13.16,2.99,1.75,17.9,0
607,2.93,1,8.78,0.0,0.78,9.56,0
104,1.11,1,3.9,2.08,0.84,6.82,0
1864,10.27,1,23.89,5.46,3.47,32.82,1
709,3.57,1,9.75,0.0,3.46,13.21,1
2127,10.15,1,87.75,17.55,0.35,105.65,0
1279,8.51,1,19.5,4.16,1.26,24.92,0
1935,9.46,2,22.91,0.0,1.27,24.18,0
185,0.76,1,3.9,0.0,0.78,4.68,0
461,2.57,1,7.31,1.04,1.2,9.55,0
759,3.88,1,10.24,0.0,0.78,11.02,0
2451,7.4,1,25.35,0.0,0.78,26.13,0
218,0.27,5,3.9,1.43,3.5,8.83,1
586,1.71,1,7.8,1.69,0.81,10.3,0
711,3.14,1,9.26,2.08,1.29,12.63,0
860,7.64,1,15.11,1.95,0.78,17.84,0
995,6.12,2,15.11,0.0,0.78,15.89,0
785,3.07,1,9.75,0.0,1.76,11.51,0
1098,6.21,1,14.62,4.55,3.44,22.61,1
1654,7.72,1,19.99,5.85,3.47,29.31,1
467,1.75,1,6.34,1.56,1.81,9.71,0
610,2.99,5,8.78,0.0,1.76,10.54,0
603,2.88,1,8.78,0.0,1.27,10.05,0
447,2.37,3,7.31,1.82,1.75,10.88,0
1402,11.81,5,23.4,1.95,7.65,33.0,0
861,4.47,1,12.19,2.73,1.81,16.73,0
994,4.8,1,12.68,2.73,0.74,16.15,0
237,0.77,1,4.39,0.0,0.78,5.17,0
2375,11.83,2,29.74,6.63,3.47,39.84,1
608,3.4,1,8.29,0.0,3.46,11.75,1
1237,2.14,1,13.16,2.73,0.84,16.73,0
187,0.64,1,3.9,0.0,0.78,4.68,0
1347,18.19,1,32.18,4.94,1.2,38.32,0
650,2.06,1,8.78,1.95,0.74,11.47,0
408,1.71,1,6.34,1.43,3.5,11.27,1
529,2.56,1,7.31,0.0,0.78,8.09,0
960,2.8,1,11.21,3.64,0.74,15.59,0
587,3.11,5,8.78,0.0,0.78,9.56,0
809,1.24,1,9.26,1.95,3.42,14.63,1
190,1.0,1,4.39,1.04,0.77,6.2,0
299,1.38,1,5.36,0.0,0.78,6.14,0
334,1.56,1,5.36,0.0,0.78,6.14,0
799,3.38,1,10.24,1.95,0.78,12.97,0
564,3.07,1,8.78,0.0,1.27,10.05,0
1331,5.52,1,16.09,1.04,0.72,17.85,0
393,1.74,1,6.34,0.0,1.27,7.61,0
575,2.74,1,8.29,1.95,1.22,11.46,0
321,1.82,2,5.85,0.0,0.78,6.63,0
372,2.17,1,6.34,1.56,1.81,9.71,0
240,1.5,1,4.88,0.0,1.76,6.64,0
965,4.38,1,12.68,0.0,3.46,16.14,1
713,3.46,1,9.75,1.43,3.49,14.67,1
928,3.28,1,10.72,0.0,3.46,14.18,1
366,2.27,1,6.34,0.0,0.78,7.12,0
607,2.29,1,7.8,0.0,0.78,8.58,0
916,7.81,1,15.6,3.51,1.72,20.83,0
321,1.45,1,5.36,1.04,1.79,8.19,0
244,1.29,1,4.88,1.04,0.72,6.64,0
497,1.63,1,6.82,1.56,0.74,9.12,0
707,2.61,1,8.78,2.08,1.78,12.64,0
1031,3.7,1,12.19,2.86,4.4,19.45,1
191,0.72,1,3.9,0.0,1.76,5.66,0
1296,10.75,1,21.94,4.68,1.23,27.85,0
623,3.43,1,10.24,0.0,0.78,11.02,0
2069,18.33,5,34.61,0.0,3.46,38.07,1
393,2.29,1,6.82,2.34,0.72,9.88,0
280,0.9,1,6.82,1.43,0.29,8.54,0
679,4.88,1,11.21,0.0,3.46,14.67,1
