trip_duration,distance_traveled,num_of_passengers,fare,tip,miscellaneous_fees,total_fare,surge_applied
31,0.29,1,2.44,0.0,1.27,3.71,0
301,1.32,1,5.36,2.08,1.81,9.25,0
178,0.92,1,4.39,1.17,1.81,7.37,0
248,5.52,1,10.72,0.0,0.78,11.5,0
370,1.71,1,6.34,1.56,1.81,9.71,0
180,0.64,1,3.9,2.21,3.44,9.55,1
922,9.33,1,24.38,0.0,0.29,24.67,0
422,2.56,1,7.31,0.0,1.27,8.58,0
1725,8.69,2,22.91,2.86,4.5,30.27,1
942,3.77,1,11.21,0.0,3.46,14.67,1
2431,11.27,1,28.28,0.0,0.78,29.06,0
2022,5.6,1,20.48,4.81,3.44,28.73,1
773,7.5,3,15.6,5.07,1.26,21.93,0
192,2.35,1,5.85,1.04,0.72,7.61,0
2451,7.4,1,25.35,0.0,0.78,26.13,0
795,8.58,1,16.58,4.29,0.83,21.7,0
1891,5.39,1,18.53,5.46,3.5,27.49,1
557,1.35,1,6.82,1.69,1.78,10.29,0
1241,9.0,1,19.99,4.94,4.38,29.31,1
471,2.3,1,7.31,2.21,3.99,13.51,1
820,2.83,1,10.24,0.0,0.78,11.02,0
684,3.28,1,9.75,2.08,0.81,12.64,0
1688,6.5,2,19.5,1.04,0.75,21.29,0
461,1.72,1,6.82,1.56,0.74,9.12,0
580,2.54,1,8.29,0.0,1.27,9.56,0
491,1.13,1,6.34,0.0,1.76,8.1,0
2116,6.39,1,21.94,0.0,3.46,25.4,1
1013,4.8,1,13.16,5.85,4.44,23.45,1
1343,11.83,4,24.38,0.0,7.17,31.55,0
1351,9.58,2,21.45,7.41,3.52,32.38,1
303,1.11,1,5.36,1.04,1.69,8.09,0
382,1.43,1,5.85,0.0,0.78,6.63,0
334,1.56,1,5.36,0.0,0.78,6.14,0
614,6.24,1,13.16,2.73,0.84,16.73,0
1119,13.47,1,23.89,4.94,0.77,29.6,0
1624,10.35,1,23.89,6.89,3.41,34.19,1
799,4.1,1,11.21,2.47,1.29,14.97,0
1248,4.99,2,15.11,5.85,4.46,25.42,1
368,2.67,1,7.31,0.0,0.78,8.09,0
1079,6.13,1,15.11,2.86,0.84,18.81,0
214,1.01,1,4.39,1.17,1.23,6.79,0
312,1.24,1,5.36,0.0,0.78,6.14,0
630,3.73,6,9.26,0.0,1.76,11.02,0
520,1.93,1,7.8,1.69,0.8,10.29,0
839,8.24,1,16.09,5.85,3.48,25.42,1
969,8.34,1,17.55,5.59,1.32,24.46,0
513,2.75,1,7.8,1.69,0.81,10.3,0
1389,9.04,1,20.48,3.9,3.46,27.84,1
633,0.97,1,7.8,0.0,1.76,9.56,0
426,1.71,1,6.34,1.43,0.77,8.54,0
442,1.77,1,6.34,0.0,1.27,7.61,0
2977,41.84,3,86.29,0.13,14.64,101.06,0
649,3.25,1,9.75,2.47,0.34,12.56,0
928,4.76,1,11.21,0.0,1.27,12.48,0
1319,3.43,4,14.14,0.0,0.78,14.92,0
597,4.25,1,9.75,3.25,3.52,16.52,1
3138,48.41,2,130.65,0.0,1.27,131.92,0
1289,6.76,2,17.06,4.16,3.41,24.63,1
1212,11.89,1,22.91,6.24,8.11,37.26,0
647,5.6,1,18.53,0.0,0.29,18.82,0
1643,6.41,1,19.01,2.08,3.53,24.62,1
437,2.75,1,7.31,1.56,0.84,9.71,0
1607,4.52,1,17.06,0.0,3.46,20.52,1
470,1.8,1,6.82,1.04,1.69,9.55,0
802,3.15,1,9.75,0.0,0.78,10.53,0
1454,6.84,1,18.04,3.77,0.77,22.58,0
2404,14.32,1,31.2,3.51,3.42,38.13,1
1719,15.29,2,63.38,0.0,0.78,64.16,0
442,1.54,1,6.34,0.0,0.78,7.12,0
2283,16.21,1,32.66,8.97,3.52,45.15,1
1094,4.52,2,13.16,0.0,3.46,16.62,1
308,1.4,1,4.88,0.0,1.76,6.64,0
734,3.03,1,9.75,0.0,3.46,13.21,1
572,2.09,1,7.8,0.0,0.78,8.58,0
1730,6.55,1,19.5,5.33,1.74,26.57,0
580,2.32,1,7.8,2.21,3.5,13.51,1
1337,13.02,1,25.35,8.19,1.7,35.24,0
2146,5.17,2,1.95,0.0,0.29,2.24,0
693,2.88,1,9.75,0.0,0.78,10.53,0
2683,17.33,1,37.54,7.67,0.77,45.98,0
764,4.43,1,10.72,0.0,0.78,11.5,0
383,1.93,1,6.34,1.95,0.78,9.07,0
550,5.78,1,12.19,2.47,0.75,15.41,0
355,1.45,1,5.85,1.43,1.26,8.54,0
366,2.12,1,6.34,1.56,1.81,9.71,0
860,3.69,1,10.72,3.51,3.5,17.73,1
835,3.6,1,10.72,2.86,3.44,17.02,1
861,4.47,1,12.19,2.73,1.81,16.73,0
163,1.11,1,4.39,2.86,1.33,8.58,0
791,2.57,3,9.26,1.95,0.78,11.99,0
1949,19.75,2,38.02,0.0,1.27,39.29,0
826,8.13,1,16.58,2.6,0.78,19.96,0
928,4.01,1,11.7,0.0,0.78,12.48,0
295,1.61,2,5.85,0.0,0.78,6.63,0
1217,12.36,1,23.4,3.9,1.76,29.06,0
716,3.27,1,9.75,2.73,1.29,13.77,0
887,5.23,1,13.16,0.0,0.78,13.94,0
954,10.96,1,20.48,6.89,7.19,34.56,0
467,1.75,1,6.34,1.56,1.81,9.71,0
1039,3.49,1,11.7,3.25,1.25,16.2,0
1140,9.06,1,19.01,0.0,4.44,23.45,1
814,3.75,1,10.72,4.29,3.42,18.43,1
425,2.16,1,6.34,1.43,0.77,8.54,0
519,2.09,1,7.31,1.56,0.84,9.71,0
3370,13.26,1,37.05,0.0,1.76,38.81,0
575,2.74,1,8.29,1.95,1.22,11.46,0
724,1.27,1,8.29,1.17,3.46,12.92,1
672,3.6,1,9.26,2.73,1.77,13.76,0
439,1.88,1,6.82,1.56,0.74,9.12,0
703,4.83,1,11.21,1.95,3.46,16.62,1
684,3.77,1,10.24,1.04,1.2,12.48,0
1292,10.69,1,20.48,0.0,4.44,24.92,1
1838,15.45,1,31.2,0.0,4.44,35.64,1
2747,12.28,1,31.2,0.0,1.76,32.96,0
426,2.59,1,7.31,1.82,1.75,10.88,0
397,1.64,1,6.34,1.43,0.77,8.54,0
1046,3.38,1,11.7,0.0,0.78,12.48,0
409,1.95,1,6.34,1.56,1.81,9.71,0
517,6.26,1,12.68,2.73,0.74,16.15,0
463,1.64,5,6.82,0.0,1.27,8.09,0
1165,5.81,1,15.6,0.0,3.46,19.06,1
375,1.82,1,5.85,1.17,0.8,7.82,0
95,0.66,1,3.41,0.0,1.76,5.17,0
916,4.72,1,12.68,3.38,4.48,20.54,1
781,4.18,1,11.21,1.95,1.27,14.43,0
1450,10.46,1,23.4,8.06,3.44,34.9,1
30,0.32,1,2.92,0.0,1.76,4.68,0
1437,6.39,1,17.55,1.95,3.46,22.96,1
1967,11.1,5,25.84,0.0,3.46,29.3,1
1256,5.36,1,15.11,0.0,0.78,15.89,0
294,1.51,1,5.36,2.08,1.81,9.25,0
1075,5.78,1,14.14,1.04,3.88,19.06,1
111,0.93,1,3.9,0.0,0.78,4.68,0
356,2.06,1,6.34,2.08,0.84,9.26,0
1115,3.96,1,12.68,2.86,3.53,19.07,1
182,0.8,1,3.9,0.0,1.76,5.66,0
1022,2.74,1,11.7,2.73,1.71,16.14,0
416,1.09,1,5.85,1.95,1.76,9.56,0
581,3.7,2,8.78,0.0,3.46,12.24,1
23,0.48,1,20.48,0.0,0.29,20.77,0
511,1.96,1,6.82,3.77,3.47,14.06,1
1046,3.86,1,12.68,0.0,3.46,16.14,1
461,1.37,1,6.34,0.0,0.78,7.12,0
291,2.03,1,5.85,1.56,1.72,9.13,0
347,1.37,1,5.36,0.0,1.76,7.12,0
1200,4.07,1,13.65,0.0,1.76,15.41,0
309,1.27,1,5.36,0.0,1.27,6.63,0
1527,30.74,1,49.24,0.0,9.85,59.09,1
1299,5.01,3,14.62,0.0,4.44,19.06,1
549,1.9,1,7.31,2.34,4.45,14.1,1
720,1.48,1,8.78,1.95,0.78,11.51,0
723,3.22,1,10.24,0.0,0.78,11.02,0
403,1.77,1,6.34,1.43,0.77,8.54,0
1271,6.28,1,16.09,3.9,3.47,23.46,1
607,2.93,1,8.78,0.0,0.78,9.56,0
499,2.17,1,7.31,0.0,0.78,8.09,0
852,2.08,1,9.75,0.0,1.76,11.51,0
466,2.06,1,6.82,0.0,0.78,7.6,0
1097,10.3,1,21.94,5.2,4.5,31.64,1
1617,6.18,1,18.04,2.86,3.53,24.43,1
534,2.2,1,7.8,0.0,0.78,8.58,0
441,1.93,1,6.82,0.0,0.78,7.6,0
1171,5.47,1,15.11,3.64,3.53,22.28,1
395,1.21,1,5.85,0.0,1.76,7.61,0
235,1.19,1,4.39,0.0,1.76,6.15,0
528,3.14,1,8.78,2.6,3.89,15.27,1
3058,9.82,2,31.2,6.63,1.71,39.54,0
2405,14.81,1,33.15,0.0,1.27,34.42,0
512,2.43,1,7.8,1.69,0.81,10.3,0
1902,10.78,1,25.35,5.72,3.49,34.56,1
139,0.48,1,3.41,0.0,1.76,5.17,0
845,4.35,1,12.19,1.04,0.72,13.95,0
342,1.93,1,5.85,1.04,4.37,11.26,1
45,4.18,2,9.75,0.0,0.0,9.75,0
405,2.01,1,6.34,1.04,0.72,8.1,0
677,2.49,1,8.78,3.12,3.4,15.3,1
651,1.87,2,7.8,2.34,1.8,11.94,0
929,8.64,1,17.06,4.16,3.41,24.63,1
489,1.83,1,6.82,0.0,0.78,7.6,0
629,2.25,2,7.8,1.69,0.81,10.3,0
1025,4.1,1,12.68,3.25,3.44,19.37,1
555,3.04,1,8.29,0.0,1.27,9.56,0
201,2.25,1,5.85,1.56,1.72,9.13,0
456,2.25,1,6.82,1.3,1.74,9.86,0
497,1.63,1,6.82,1.56,0.74,9.12,0
332,1.53,1,5.85,0.0,1.76,7.61,0
385,1.72,1,6.34,0.0,0.78,7.12,0
184,1.43,1,4.39,0.0,0.78,5.17,0
1056,5.44,1,14.14,0.0,0.78,14.92,0
980,12.1,2,31.2,7.93,0.24,39.37,0
1579,11.91,1,24.38,5.07,0.74,30.19,0
386,2.56,1,6.82,0.0,0.78,7.6,0
44,0.43,1,2.92,0.91,1.78,5.61,0
1073,4.18,1,12.68,2.86,0.84,16.38,0
1703,10.03,1,22.42,0.0,0.78,23.2,0
664,2.19,1,8.29,0.0,0.78,9.07,0
332,1.8,1,5.85,0.0,0.78,6.63,0
617,3.17,1,8.78,0.0,0.78,9.56,0
190,0.74,1,3.9,1.43,0.75,6.08,0
944,3.62,1,11.7,0.0,1.76,13.46,0
1779,11.54,2,25.84,0.0,0.78,26.62,0
246,1.29,3,4.88,1.3,0.84,7.02,0
478,2.27,1,7.31,0.0,0.78,8.09,0
373,2.56,1,6.82,2.08,3.44,12.34,1
874,4.97,2,12.68,0.0,3.95,16.63,1
1397,12.81,5,24.86,5.2,1.29,31.35,0
253,1.19,5,4.88,1.17,1.33,7.38,0
376,1.66,6,5.85,1.04,1.69,8.58,0
2054,4.3,1,19.99,0.0,1.76,21.75,0
