nickname,total_turns,first_five_turns_points,max_points_turn,min_points_turn,max_min_difference,winner,lexicon,initial_time_seconds,rating_mode,game_duration_seconds,time left minutes
STEEBot,15,102,70,4,66,1,NWL20,1500,RATED,466.9900661,17.216832231666668
Willeford,13,172,89,18,71,1,NWL20,1200,RATED,462.9910932,12.283481779999999
kfraley,11,156,98,7,91,1,CSW21,1200,CASUAL,838.5932951000002,6.023445081666663
pandorable,13,83,77,8,69,0,CSW21,300,RATED,111.48573590000002,3.1419044016666664
STEEBot,14,135,35,11,24,0,NWL20,1200,RATED,691.2410741,8.479315431666667
Meith,12,167,78,6,72,1,CSW21,900,RATED,191.6471181,11.805881365000001
STEEBot,14,81,76,0,76,0,CSW21,420,RATED,176.0776539,4.065372435
supriya,11,244,82,0,82,1,CSW21,1200,RATED,553.45135,10.775810833333333
STEEBot,15,98,76,10,66,0,CSW21,900,RATED,490.0497711,6.832503815
Ibrahim28,18,47,82,-69,151,0,CSW21,840,CASUAL,268.4484251,9.525859581666667
STEEBot,12,202,78,12,66,1,CSW21,1200,RATED,495.014538,11.7497577
BetterBot,11,202,88,9,79,0,NWL20,1800,CASUAL,665.3203421000002,18.911327631666662
pisces223,14,91,35,6,29,0,NWL20,1200,RATED,397.004204,13.383263266666665
STEEBot,15,127,68,12,56,0,NWL20,3600,RATED,607.9822581,49.866962365
FieryLow,14,122,69,6,63,0,CSW21,900,CASUAL,722.4908588,2.9584856866666676
davidavid,13,182,72,12,60,1,CSW21,900,RATED,520.1000558999998,6.331665735000003
Kevin_818,11,173,98,16,82,1,NWL20,600,CASUAL,356.6477742,4.05587043
arjun15,14,103,42,0,42,0,CSW21,1200,RATED,776.627779,7.056203683333333
patricck,13,130,75,11,64,1,CSW21,3300,RATED,349.882499,49.16862501666667
friesbasil,10,136,99,3,96,0,CSW21,1200,RATED,205.8446221,16.569256298333332
Vinith,13,157,70,12,58,1,CSW21,1200,CASUAL,577.579699,10.373671683333333
BetterBot,14,92,67,0,67,1,CSW21,900,RATED,474.8063099,7.086561501666667
putterzz,13,171,101,0,101,1,CSW21,1320,RATED,994.2231069,5.429614885000001
HastyBot,12,191,74,16,58,0,CSW21,3600,CASUAL,397.3078949,53.378201751666666
BetterBot,12,179,53,12,41,1,NWL20,1800,RATED,650.3044119,19.161593134999997
ZeMing,12,152,68,0,68,0,CSW21,1200,RATED,234.038044,16.099365933333335
CindyLingXinJie,16,59,29,4,25,0,CSW21,780,RATED,686.118499,1.5646916833333326
BB-8,16,74,74,2,72,1,ECWL,900,CASUAL,177.6444061,12.039259898333334
BetterBot,16,89,70,0,70,1,CSW21,1800,RATED,567.3148921000002,20.54475179833333
STEEBot,14,102,43,9,34,1,CSW21,1440,CASUAL,633.2368002000002,13.446053329999996
STEEBot,11,129,42,14,28,0,NWL20,720,RATED,94.8559351,10.419067748333333
STEEBot,13,132,83,19,64,0,NWL20,1200,RATED,328.873951,14.518767483333333
BetterBot,14,78,98,2,96,0,NWL20,1200,RATED,1090.45853,1.8256911666666649
NoelL,12,168,56,5,51,0,CSW21,1200,RATED,405.1389542,13.247684096666667
BetterBot,15,100,42,8,34,1,CSW21,900,RATED,571.4466487999998,5.475889186666669
HastyBot,16,63,74,0,74,0,ECWL,900,CASUAL,169.2673039,12.178878268333333
STEEBot,12,142,78,19,59,1,NWL20,1200,RATED,634.187856,9.4302024
STEEBot,11,176,90,5,85,0,CSW21,1200,RATED,421.0994809,12.981675318333334
BetterBot,17,143,79,0,79,0,NWL20,1200,RATED,693.8761611000001,8.435397314999998
BetterBot,12,140,83,12,71,0,CSW21,900,RATED,656.2850609,4.061915651666667
BB-8,14,98,42,4,38,0,ECWL,900,CASUAL,202.66014,11.622331
BetterBot,16,57,29,7,22,1,CSW21,1320,RATED,483.6959879,13.938400201666667
pandorable,15,88,77,8,69,1,CSW21,300,RATED,262.9122779,0.6181287016666668
NoelL,14,104,80,2,78,0,CSW21,1200,RATED,559.4642719999998,10.67559546666667
BetterBot,17,83,61,7,54,0,CSW21,1200,RATED,465.1419458,12.247634236666666
HastyBot,14,54,65,2,63,1,ECWL,900,CASUAL,207.066375,11.54889375
pisces223,12,73,80,5,75,0,NWL20,1200,RATED,301.3732748,14.977112086666667
STEEBot,15,133,83,0,83,0,NWL20,720,RATED,133.4569621,9.775717298333332
HastyBot,16,45,86,2,84,1,NWL20,3600,RATED,514.425421,51.42624298333333
STEEBot,14,85,83,12,71,0,CSW21,1200,RATED,578.4704239,10.358826268333333
Laju,14,136,41,12,29,0,CSW21,1200,RATED,289.0532451,15.182445914999999
HastyBot,13,98,64,8,56,1,NWL20,600,RATED,313.229075,4.7795154166666665
thraoph,12,164,86,13,73,0,CSW21,1200,RATED,336.4155941,14.393073431666666
deathstar,13,134,101,2,99,1,NWL20,1200,RATED,419.364099,13.01059835
BetterBot,12,163,62,7,55,1,NWL20,1200,RATED,549.7677619,10.837203968333334
vinylchances,11,178,89,11,78,0,CSW21,60,RATED,101.4543929,-0.6909065483333333
HastyBot,14,99,73,6,67,0,ECWL,900,CASUAL,198.705621,11.688239649999998
STEEBot,15,132,102,3,99,0,NWL20,3600,RATED,99.11473107,58.3480878155
STEEBot,15,105,39,4,35,1,CSW21,1200,RATED,461.2175841,12.313040265
STEEBot,14,121,57,10,47,0,CSW21,1200,RATED,1114.673455,1.4221090833333316
wzy3112,18,50,70,2,68,1,CSW21,3600,RATED,1098.37284,41.693786
HastyBot,15,90,43,0,43,0,ECWL,900,CASUAL,213.8456459,11.435905901666667
HastyBot,11,222,87,8,79,0,CSW21,1200,RATED,525.792275,11.236795416666666
HastyBot,16,73,79,6,73,0,CSW21,600,RATED,613.344023,-0.2224003833333332
HastyBot,14,207,92,0,92,0,NWL20,1200,RATED,352.7783439,14.120360935
Hihas,17,55,86,6,80,0,CSW21,900,RATED,518.6345711,6.356090481666667
Kathleen3,15,183,92,6,86,1,CSW21,1800,RATED,590.0773292,20.16537784666667
Saryk,12,125,80,14,66,0,NWL20,1200,RATED,449.27125,12.512145833333333
Numbat,14,70,78,6,72,1,CSW21,1200,RATED,251.829685,15.802838583333333
BetterBot,12,113,72,16,56,1,CSW21,900,CASUAL,371.0873611,8.815210648333334
friesbasil,11,136,78,7,71,1,CSW21,1200,RATED,211.2465918,16.47922347
Drchadra,14,57,33,6,27,0,CSW21,660,RATED,431.9320838,3.8011319366666667
BetterBot,14,77,76,9,67,1,NWL20,1200,RATED,497.2306771,11.712822048333333
BetterBot,14,68,75,5,70,0,CSW21,300,RATED,146.3659379,2.5605677016666664
Melchi,11,137,94,14,80,0,CSW21,600,RATED,348.3125188,4.194791353333333
HastyBot,14,73,80,4,76,1,NWL20,2700,RATED,1012.06937,28.132177166666665
rak1507,12,128,73,13,60,1,CSW21,600,RATED,354.2780919,4.095365135
BetterBot,14,124,46,0,46,1,NWL20,1800,RATED,487.8973179,21.868378035
ji1222,11,126,75,11,64,0,CSW21,900,CASUAL,359.2797132,9.01200478
snorkl,12,145,70,14,56,0,CSW21,1200,RATED,1060.664055,2.3222657500000006
friesbasil,16,89,74,3,71,0,CSW21,1200,RATED,376.0653632,13.732243946666667
BB-8,12,171,96,14,82,0,ECWL,900,CASUAL,248.4630959,10.858948401666668
huh,12,134,48,9,39,0,CSW21,900,RATED,263.4243112,10.609594813333334
BetterBot,14,84,78,8,70,0,CSW21,300,RATED,160.39635800000005,2.326727366666666
STEEBot,13,138,67,10,57,0,NWL20,600,RATED,562.8008671,0.6199855483333333
BetterBot,15,72,84,0,84,1,CSW21,900,RATED,616.7131341,4.721447764999999
HastyBot,13,96,77,11,66,1,ECWL,900,CASUAL,231.5491378,11.140847703333332
Eloquent,14,121,91,4,87,1,CSW21,1200,CASUAL,235.49171780000003,16.075138036666665
Hercules,13,92,84,2,82,1,NWL20,1200,RATED,673.2132831,8.779778615
BetterBot,16,74,68,6,62,1,CSW21,1320,RATED,873.6112819,7.439811968333333
HastyBot,16,51,80,0,80,1,ECWL,900,CASUAL,232.6066661,11.123222231666666
BB-8,15,117,86,8,78,1,ECWL,900,CASUAL,204.9552059,11.584079901666666
HastyBot,13,125,80,6,74,0,ECWL,900,CASUAL,172.17775509999996,12.130370748333332
BetterBot,15,135,76,2,74,0,NWL20,1200,RATED,922.8862398,4.61856267
madatom,13,119,73,6,67,1,CSW21,1320,RATED,842.0598791000001,7.965668681666665
blitztkr,11,142,83,23,60,0,CSW21,900,RATED,612.4685440000002,4.79219093333333
STEEBot,13,196,75,11,64,0,CSW21,900,RATED,922.604398,-0.37673996666666576
SirLee,12,131,74,15,59,1,CSW21,1800,RATED,1472.291345,5.461810916666665
STEEBot,13,165,112,8,104,0,CSW21,1440,CASUAL,761.165391,11.31391015
MarvinK,22,4,37,-19,56,0,NWL20,3600,RATED,2035.313774,26.07810376666667
STEEBot,17,47,70,2,68,0,NWL20,1140,RATED,920.0795269,3.665341218333333
tequilajoe,15,90,80,0,80,0,NWL20,600,RATED,199.0275459,6.682874235
BB-8,14,122,113,6,107,1,ECWL,900,CASUAL,199.2834241,11.678609598333333
tarkovsky7,11,201,88,5,83,0,NWL20,3600,RATED,315.5600421000001,54.740665965
pingpk,11,164,77,0,77,0,CSW21,1440,RATED,296.6994882,19.055008530000002
BetterBot,12,73,77,8,69,1,CSW21,1320,RATED,866.078759,7.565354016666666
HastyBot,10,204,92,22,70,0,CSW21,600,RATED,285.4470439,5.242549268333334
STEEBot,12,208,86,23,63,0,NWL20,1200,RATED,411.6549711,13.139083815
STEEBot,14,134,88,12,76,0,CSW21,1200,RATED,370.661056,13.822315733333335
STEEBot,13,156,80,7,73,1,NWL20,840,CASUAL,751.9461269,1.467564551666667
Aarush,19,38,77,-38,115,0,CSW21,1200,CASUAL,538.622788,11.022953533333332
cudbear,14,112,79,4,75,1,CSW21,1200,RATED,922.8938899,4.618435168333334
STEEBot,17,129,74,2,72,0,CSW21,900,RATED,235.8118908,11.06980182
deathstar,13,108,45,8,37,0,NWL20,1200,RATED,429.550951,12.840817483333334
TileRunner,12,134,41,15,26,0,NWL20,1500,RATED,266.906348,20.551560866666666
STEEBot,13,121,94,8,86,0,CSW21,1200,RATED,244.7837579,15.920270701666668
STEEBot,15,190,98,8,90,0,CSW21,900,RATED,965.1292412,-1.0854873533333338
STEEBot,12,152,86,0,86,0,CSW21,1200,RATED,259.564317,15.673928049999999
cudbear,11,175,72,12,60,0,CSW21,1200,RATED,895.0848391000002,5.08191934833333
STEEBot,15,137,65,4,61,1,CSW21,1200,RATED,515.8122702,11.403128830000002
BetterBot,14,99,68,11,57,0,CSW21,1200,RATED,468.3324602,12.194458996666667
BetterBot,14,134,77,0,77,0,CSW21,300,RATED,284.4956441,0.2584059316666668
BetterBot,15,84,79,4,75,0,CSW21,900,RATED,306.1016481000001,9.898305864999998
HastyBot,14,132,81,7,74,0,CSW21,900,RATED,513.4762139,6.442063101666667
BetterBot,14,119,78,4,74,0,NWL20,1200,CASUAL,421.67390300000005,12.972101616666665
YLT,15,74,54,6,48,0,CSW21,3600,CASUAL,443.092036,52.61513273333333
yss,12,231,68,0,68,0,CSW21,900,RATED,291.5468981,10.140885031666667
Omoyedivine,12,170,72,9,63,0,CSW21,1020,RATED,629.4455941000001,6.509240098333332
BB-8,13,180,67,11,56,0,ECWL,900,CASUAL,160.6913021,12.321811631666666
Vishy56789,16,72,89,0,89,0,NWL20,1200,RATED,197.563838,16.707269366666665
chloe,13,108,86,8,78,1,NWL20,300,RATED,274.71363,0.42143949999999963
HastyBot,12,162,70,11,59,0,CSW21,600,RATED,537.3788691000002,1.0436855149999966
Kev,18,36,41,0,41,0,CSW21,900,CASUAL,477.6328869,7.039451885
gerald0506,12,148,69,5,64,0,CSW21,1200,RATED,713.44557,8.1092405
Sanuthi_Chandrakumar,11,164,83,15,68,1,CSW21,1200,RATED,366.691309,13.888478183333332
HastyBot,14,154,70,18,52,0,CSW21,600,RATED,374.7106912,3.7548218133333338
FuriousTiles,15,95,112,0,112,1,NWL20,1320,RATED,611.0361788,11.816063686666666
BB-8,14,86,68,11,57,0,ECWL,900,CASUAL,190.1190951,11.831348415
BetterBot,14,159,86,0,86,0,CSW21,900,RATED,367.559808,8.8740032
MB2,12,90,72,5,67,0,CSW21,1200,RATED,266.2182341,15.563029431666667
twjiayu,12,111,37,8,29,0,CSW21,1200,CASUAL,467.79739400000005,12.203376766666667
BetterBot,14,124,85,5,80,1,CSW21,300,RATED,167.7767348,2.2037210866666666
HastyBot,14,158,83,0,83,0,ECWL,900,CASUAL,166.7908919,12.220151801666667
Knowledgefinder,16,63,62,0,62,0,CSW21,900,RATED,588.162087,5.197298549999999
BetterBot,14,82,104,7,97,0,CSW21,1200,RATED,828.7357427999998,6.187737620000004
HastyBot,16,77,85,0,85,0,ECWL,900,CASUAL,168.2260551,12.196232415
tequilajoe,13,158,81,8,73,0,NWL20,600,RATED,208.1645701,6.530590498333334
STEEBot,12,216,126,8,118,0,CSW21,1200,RATED,825.1656009999998,6.247239983333336
STEEBot,13,164,80,10,70,0,CSW21,600,RATED,444.652261,2.589128983333333
stevy,14,78,72,0,72,0,NWL20,1200,CASUAL,911.0101442,4.816497596666666
BetterBot,18,61,80,0,80,1,CSW21,1200,RATED,502.3176820000001,11.62803863333333
BetterBot,16,81,34,0,34,1,NWL20,1200,CASUAL,434.1092319,12.764846135
HastyBot,16,80,66,2,64,1,ECWL,900,CASUAL,292.6410651,10.122648915000001
BetterBot,12,117,59,12,47,1,CSW21,900,CASUAL,822.7798321,1.287002798333333
Euploidy,12,123,84,8,76,0,CSW21,1500,RATED,900.0847409,9.998587651666666
strataji,15,73,61,3,58,1,ECWL,2400,RATED,463.1929011,32.280118315
Mimix,15,159,94,3,91,0,CSW21,1200,RATED,453.1573541,12.447377431666666
BetterBot,16,142,72,0,72,0,CSW21,1320,RATED,903.8841331,6.935264448333333
bubbat,11,167,73,11,62,0,NWL20,720,RATED,437.0003269,4.716661218333333
BetterBot,17,131,73,0,73,0,CSW21,900,RATED,412.5966389,8.123389351666667
BetterBot,16,87,80,0,80,0,CSW21,1200,CASUAL,489.13520189999986,11.847746635000002
BetterBot,14,95,76,4,72,0,NWL20,1200,RATED,634.2737031,9.428771614999999
BB-8,13,158,94,0,94,1,ECWL,900,CASUAL,262.7134991,10.621441681666665
wzy3112,13,107,90,13,77,0,CSW21,3600,RATED,704.328845,48.26118591666667
STEEBot,15,66,101,0,101,1,NWL20,1200,RATED,386.059258,13.565679033333334
Vinith,13,101,87,9,78,1,CSW21,1200,CASUAL,726.9406271,7.884322881666666
STEEBot,12,131,68,13,55,0,CSW21,60,RATED,120.486074,-1.0081012333333335
HastyBot,12,152,80,4,76,1,CSW21,1200,RATED,310.260833,14.828986116666666
STEEBot,14,102,63,7,56,0,NWL20,3600,CASUAL,456.1355269,52.39774121833333
STEEBot,14,84,63,6,57,0,CSW21,1200,RATED,332.48397989999995,14.458600335000002
BetterBot,16,159,70,0,70,0,CSW21,1200,RATED,102.09304,18.298449333333334
thraoph,10,135,67,11,56,0,CSW21,1200,RATED,213.2698791,16.445502015
STEEBot,15,127,94,2,92,0,NWL20,1200,CASUAL,724.8725021,7.918791631666666
pandorable,16,146,74,4,70,0,CSW21,300,RATED,119.6606591,3.0056556816666666
STEEBot,13,125,43,13,30,1,CSW21,900,CASUAL,326.66301610000005,9.555616398333333
BeanzCyclones,14,68,72,4,68,0,CSW21,1200,RATED,250.232626,15.829456233333334
BetterBot,17,89,86,0,86,0,CSW21,300,RATED,189.9130189,1.8347830183333333
HastyBot,15,107,100,8,92,0,CSW21,1200,RATED,245.8105559,15.903157401666666
HastyBot,12,130,90,6,84,0,CSW21,1200,RATED,190.54581,16.8242365
lsutiger,18,72,37,0,37,0,NWL20,1200,RATED,1066.0855869999998,2.2319068833333366
STEEBot,14,88,88,4,84,0,CSW21,1200,RATED,648.5678899000002,9.19053516833333
Anita,12,151,72,8,64,0,NWL20,1200,RATED,283.9564021,15.267393298333333
BB-8,15,118,80,0,80,1,ECWL,900,CASUAL,168.0015841,12.199973598333335
DavidG,13,141,99,8,91,1,CSW21,2400,RATED,1173.669738,20.4388377
HastyBot,13,122,116,12,104,1,CSW21,1200,RATED,292.8910689,15.118482185000001
rasnz,15,143,79,8,71,0,CSW21,900,RATED,573.21819,5.4463634999999995
STEEBot,14,86,81,2,79,1,CSW21,1200,RATED,466.659153,12.22234745
Puzzler65,13,196,72,13,59,0,NWL20,1200,RATED,363.8857329,13.935237785
marvin,13,32,78,-10,88,0,CSW21,60,RATED,118.7320452,-0.97886742
Churrrro,14,202,74,-24,98,1,NWL20,300,CASUAL,251.777792,0.8037034666666666
BetterBot,20,-10,95,-10,105,1,CSW21,1200,RATED,777.5970321000002,7.0400494649999965
BetterBot,15,111,81,0,81,0,NWL20,300,CASUAL,271.734884,0.4710852666666663
HastyBot,13,168,90,0,90,1,CSW21,1320,RATED,540.1257009999998,12.997904983333337
HastyBot,11,190,72,0,72,1,ECWL,900,CASUAL,212.8861549,11.451897418333333
HastyBot,12,218,79,12,67,0,NWL20,3600,RATED,862.2877381000002,45.628537698333325
HastyBot,16,150,83,7,76,0,CSW21,960,CASUAL,669.9844780000002,4.83359203333333
STEEBot,12,138,66,22,44,1,NWL20,1500,CASUAL,549.1070179999998,15.84821636666667
urppp,14,68,71,-18,89,0,NWL20,1200,RATED,1262.056019,-1.034266983333335
HastyBot,12,257,94,11,83,0,CSW21,1200,RATED,340.554801,14.32408665
Goldenwick,13,119,35,0,35,0,NWL20,1200,RATED,335.96698,14.400550333333335
HastyBot,12,205,88,10,78,1,CSW21,1200,RATED,523.0463268999998,11.282561218333337
Kathleen3,13,133,35,12,23,0,CSW21,1800,RATED,439.2902009,22.678496651666666
TileRunner,11,239,94,16,78,1,NWL20,1500,RATED,256.8292429,20.719512618333333
Numbat,11,122,72,16,56,0,CSW21,1200,RATED,233.7710969,16.10381505166667
HastyBot,15,90,78,0,78,0,ECWL,900,CASUAL,343.6934161000001,9.271776398333332
HastyBot,13,157,72,4,68,0,CSW21,600,RATED,460.6103561000001,2.323160731666665
chloe,13,92,104,-81,185,1,NWL20,300,RATED,249.1133239,0.8481112683333332
BetterBot,17,79,75,8,67,0,CSW21,3600,CASUAL,321.6106231,54.63982294833333
Jaish,15,76,76,4,72,0,CSW21,1200,RATED,451.1603072,12.480661546666665
Yulan,11,191,58,14,44,0,CSW21,1200,RATED,795.2072638999998,6.74654560166667
wanderer15,11,146,93,-10,103,0,CSW21,60,RATED,95.05325198,-0.5842208663333334
STEEBot,15,124,77,8,69,0,CSW21,600,CASUAL,307.6225369,4.872957718333334
hulkbuster,15,74,80,0,80,0,CSW21,1200,RATED,254.9825401,15.750290998333332
BetterBot,14,126,52,12,40,1,CSW21,1320,CASUAL,1075.305238,4.078246033333334
STEEBot,12,123,84,6,78,0,CSW21,1200,RATED,352.0294352,14.132842746666665
BB-8,14,73,32,8,24,0,ECWL,900,CASUAL,263.300832,10.6116528
STEEBot,13,256,103,14,89,0,CSW21,3600,RATED,195.8985469,56.735024218333336
Kii,14,72,116,0,116,1,CSW21,900,RATED,518.286068,6.3618988666666665
BetterBot,16,92,82,0,82,0,CSW21,900,CASUAL,338.7660959,9.353898401666667
Esan,10,151,101,21,80,1,CSW21,1200,RATED,432.08793,12.7985345
hannahbanana,13,196,82,4,78,0,NWL20,720,RATED,145.0024681,9.583292198333334
thisguy,12,82,83,7,76,0,NWL20,3600,RATED,444.333703,52.59443828333333
STEEBot,14,138,157,0,157,0,CSW21,1200,RATED,789.663718,6.838938033333333
STEEBot,11,210,69,18,51,1,NWL20,960,CASUAL,785.807992,2.9032001333333333
STEEBot,13,135,56,14,42,1,CSW21,1200,RATED,416.6720212,13.055466313333334
BetterBot,11,128,66,14,52,1,CSW21,1200,CASUAL,291.01047610000006,15.149825398333332
BB-8,13,158,81,3,78,1,ECWL,900,CASUAL,134.3366921,12.761055131666668
STEEBot,14,147,39,10,29,1,NWL20,1200,RATED,1110.063923,1.4989346166666677
rcg,12,107,74,4,70,1,NWL20,840,CASUAL,647.965075,3.2005820833333343
marvin,12,47,76,-10,86,0,CSW21,60,RATED,120.993999,-1.0165666500000001
HastyBot,13,142,94,0,94,0,NWL20,1200,RATED,395.4793019,13.408678301666667
Cromwell8,17,87,39,3,36,0,CSW21,1800,RATED,865.9438112,15.567603146666666
STEEBot,15,70,65,0,65,1,NWL20,720,RATED,226.9710419,8.217149301666668
HastyBot,13,186,96,7,89,1,ECWL,900,CASUAL,182.0437338,11.96593777
jabulou,13,45,32,5,27,0,CSW21,900,RATED,785.038734,1.9160211000000005
BetterBot,15,65,71,0,71,1,CSW21,1800,RATED,601.3743598,19.97709400333333
BetterBot,16,88,64,6,58,1,CSW21,1200,CASUAL,491.997237,11.800046049999999
Kovert,14,134,63,0,63,1,NWL20,1800,RATED,770.735337,17.15441105
STEEBot,13,105,108,6,102,0,CSW21,1500,RATED,673.2809899,13.778650168333334
HastyBot,16,140,77,4,73,0,CSW21,1200,RATED,948.824923,4.186251283333333
HastyBot,12,176,57,21,36,1,NWL20,1200,RATED,663.9297552,8.93450408
HastyBot,15,64,82,4,78,0,ECWL,900,CASUAL,285.5947599,10.240087335
HastyBot,13,131,69,4,65,1,CSW21,240,RATED,93.92387319,2.4346021135
STEEBot,13,160,74,6,68,0,NWL20,900,RATED,590.3598161,5.160669731666667
HastyBot,10,292,89,17,72,0,CSW21,900,RATED,513.4603748,6.442327086666667
BB-8,13,79,75,6,69,0,ECWL,900,CASUAL,179.57648590000005,12.007058568333331
BetterBot,16,139,77,0,77,1,CSW21,300,RATED,73.69027901,3.771828683166667
jocelot,15,97,82,6,76,1,NWL20,1140,CASUAL,366.475693,12.892071783333334
HastyBot,13,138,76,4,72,1,CSW21,600,RATED,331.6630728,4.47228212
HastyBot,17,110,82,0,82,0,NWL20,1200,RATED,485.4099109,11.909834818333334
BetterBot,15,113,102,4,98,1,CSW21,1200,CASUAL,379.176734,13.680387766666666
HastyBot,12,100,80,8,72,1,CSW21,300,RATED,272.6870949,0.4552150850000004
HastyBot,11,221,79,26,53,1,NWL20,180,RATED,141.304584,0.6449235999999999
STEEBot,12,202,84,15,69,0,CSW21,1440,CASUAL,755.073796,11.415436733333333
HastyBot,13,254,88,10,78,0,CSW21,1200,RATED,176.0260332,17.06623278
BB-8,13,141,63,6,57,0,ECWL,900,CASUAL,146.3663321,12.560561131666667
HastyBot,12,144,95,4,91,1,CSW21,1200,RATED,348.1396649,14.197672251666665
Anita,16,51,71,-15,86,0,NWL20,1200,RATED,409.874331,13.16876115
BB-8,15,70,113,4,109,1,ECWL,900,CASUAL,195.060946,11.748984233333333
STEEBot,12,140,84,13,71,0,NWL20,2100,CASUAL,811.1929741,21.480117098333334
Dipal,17,59,47,4,43,0,CSW21,900,RATED,578.035485,5.36607525
Uzams,11,184,81,11,70,0,CSW21,1200,RATED,464.490238,12.258496033333333
royster,13,160,80,0,80,0,NWL20,1500,RATED,609.5510631,14.840815615
STEEBot,14,134,73,6,67,0,CSW21,1200,RATED,981.7352419,3.6377459683333333
BetterBot,11,248,65,0,65,0,CSW21,1200,CASUAL,508.3701041,11.527164931666668
monica101,16,82,46,5,41,1,CSW21,900,RATED,398.7932131,8.353446448333333
STEEBot,13,217,84,14,70,0,CSW21,1080,RATED,460.260663,10.32898895
rcg,13,75,70,-21,91,0,NWL20,960,CASUAL,875.9349877999997,1.4010835366666716
HastyBot,13,202,82,10,72,0,CSW21,600,RATED,595.4946811000002,0.07508864833332989
AndrewChang92,13,219,87,0,87,0,CSW21,3600,RATED,218.1785798,56.363690336666664
jodel,13,82,59,0,59,0,CSW21,1200,RATED,1120.589116,1.3235147333333317
BetterBot,16,62,72,0,72,0,CSW21,1200,RATED,715.2376370000002,8.079372716666663
NimuthuWitharana,13,116,72,9,63,0,CSW21,900,RATED,434.7941132,7.753431446666666
BetterBot,17,114,74,0,74,1,CSW21,3600,RATED,2087.298744,25.211687599999998
Super,15,97,79,7,72,1,CSW21,3600,RATED,239.1838369,56.01360271833333
ssirin.n,20,69,39,-36,75,0,CSW21,1200,RATED,502.252846,11.629119233333334
STEEBot,15,96,80,4,76,0,CSW21,900,RATED,916.721031,-0.2786838500000007
BB-8,12,132,86,0,86,1,ECWL,900,CASUAL,150.14274719999997,12.49762088
BetterBot,12,86,93,10,83,0,CSW21,900,RATED,963.335758,-1.0555959666666677
BetterBot,15,99,76,8,68,0,NWL20,1200,CASUAL,1077.496284,2.041728599999999
